employee_id,competency_id,domain,competency,is_core_for_role,current_score,target_score,gap,is_gap
EMP00001,CMP008,Statistical,SDG Indicators,True,1,3,2,Yes
EMP00001,CMP002,Statistical,Sampling Techniques,True,1,3,2,Yes
EMP00001,CMP024,Digital Governance,Data Privacy,False,1,2,1,Yes
EMP00001,CMP009,Statistical,Metadata Standards,True,1,3,2,Yes
EMP00001,CMP033,Behavioural,Change Management,False,3,2,0,No
EMP00001,CMP029,Behavioural,Communication,False,3,2,0,No
EMP00001,CMP005,Statistical,Labour Statistics,True,1,3,2,Yes
EMP00001,CMP031,Behavioural,Ethics,False,3,2,0,No
EMP00001,CMP004,Statistical,Price Statistics,True,1,3,2,Yes
EMP00001,CMP022,Technical,Open Data,False,3,2,0,No
EMP00001,CMP018,Technical,Data Visualization,False,3,2,0,No
EMP00001,CMP003,Statistical,National Accounts,True,3,3,0,No
EMP00001,CMP019,Technical,AI/ML,False,3,2,0,No
EMP00001,CMP014,Technical,Stata,False,2,2,0,No
EMP00001,CMP032,Behavioural,Decision Making,False,1,2,1,Yes
EMP00002,CMP029,Behavioural,Communication,True,3,5,2,Yes
EMP00002,CMP018,Technical,Data Visualization,True,3,5,2,Yes
EMP00002,CMP026,Digital Governance,Government Cloud,False,4,5,1,Yes
EMP00002,CMP028,Behavioural,Leadership,True,3,5,2,Yes
EMP00002,CMP001,Statistical,Survey Design,False,5,5,0,No
EMP00002,CMP025,Digital Governance,Digital Signatures,False,4,5,1,Yes
EMP00002,CMP031,Behavioural,Ethics,True,5,5,0,No
EMP00002,CMP006,Statistical,Agricultural Statistics,False,5,5,0,No
EMP00002,CMP023,Digital Governance,Cybersecurity,False,3,5,2,Yes
EMP00002,CMP014,Technical,Stata,True,5,5,0,No
EMP00002,CMP011,Technical,Python,True,4,5,1,Yes
EMP00002,CMP009,Statistical,Metadata Standards,False,5,5,0,No
EMP00002,CMP005,Statistical,Labour Statistics,False,4,5,1,Yes
EMP00002,CMP007,Statistical,Industrial Statistics,False,5,5,0,No
EMP00002,CMP030,Behavioural,Project Management,True,3,5,2,Yes
EMP00003,CMP019,Technical,AI/ML,False,1,2,1,Yes
EMP00003,CMP024,Digital Governance,Data Privacy,False,2,2,0,No
EMP00003,CMP033,Behavioural,Change Management,False,1,2,1,Yes
EMP00003,CMP007,Statistical,Industrial Statistics,False,1,2,1,Yes
EMP00003,CMP023,Digital Governance,Cybersecurity,False,1,2,1,Yes
EMP00003,CMP003,Statistical,National Accounts,False,1,2,1,Yes
EMP00003,CMP002,Statistical,Sampling Techniques,False,1,2,1,Yes
EMP00003,CMP022,Technical,Open Data,False,2,2,0,No
EMP00003,CMP008,Statistical,SDG Indicators,False,1,2,1,Yes
EMP00003,CMP010,Statistical,Data Quality Frameworks,False,2,2,0,No
EMP00003,CMP028,Behavioural,Leadership,False,2,2,0,No
EMP00003,CMP025,Digital Governance,Digital Signatures,False,2,2,0,No
EMP00003,CMP004,Statistical,Price Statistics,False,1,2,1,Yes
EMP00003,CMP013,Technical,SQL,False,2,2,0,No
EMP00003,CMP009,Statistical,Metadata Standards,False,2,2,0,No
EMP00004,CMP011,Technical,Python,False,2,2,0,No
EMP00004,CMP016,Technical,SAS,False,2,2,0,No
EMP00004,CMP006,Statistical,Agricultural Statistics,True,2,3,1,Yes
EMP00004,CMP015,Technical,SPSS,False,1,2,1,Yes
EMP00004,CMP013,Technical,SQL,False,1,2,1,Yes
EMP00004,CMP009,Statistical,Metadata Standards,True,3,3,0,No
EMP00004,CMP021,Technical,APIs,False,3,2,0,No
EMP00004,CMP023,Digital Governance,Cybersecurity,False,2,2,0,No
EMP00004,CMP018,Technical,Data Visualization,False,1,2,1,Yes
EMP00004,CMP008,Statistical,SDG Indicators,True,3,3,0,No
EMP00004,CMP022,Technical,Open Data,False,2,2,0,No
EMP00004,CMP033,Behavioural,Change Management,False,2,2,0,No
EMP00004,CMP002,Statistical,Sampling Techniques,True,3,3,0,No
EMP00004,CMP024,Digital Governance,Data Privacy,False,2,2,0,No
EMP00004,CMP027,Digital Governance,Digital Public Infrastructure,False,1,2,1,Yes
EMP00005,CMP017,Technical,GIS,True,4,5,1,Yes
EMP00005,CMP009,Statistical,Metadata Standards,False,4,4,0,No
EMP00005,CMP008,Statistical,SDG Indicators,False,3,4,1,Yes
EMP00005,CMP024,Digital Governance,Data Privacy,False,2,4,2,Yes
EMP00005,CMP018,Technical,Data Visualization,True,2,5,3,Yes
EMP00005,CMP029,Behavioural,Communication,False,2,4,2,Yes
EMP00005,CMP032,Behavioural,Decision Making,False,4,4,0,No
EMP00005,CMP030,Behavioural,Project Management,False,2,4,2,Yes
EMP00005,CMP019,Technical,AI/ML,True,4,5,1,Yes
EMP00005,CMP014,Technical,Stata,True,3,5,2,Yes
EMP00005,CMP025,Digital Governance,Digital Signatures,False,4,4,0,No
EMP00005,CMP013,Technical,SQL,True,2,5,3,Yes
EMP00005,CMP012,Technical,R Programming,True,3,5,2,Yes
EMP00005,CMP031,Behavioural,Ethics,False,3,4,1,Yes
EMP00005,CMP005,Statistical,Labour Statistics,False,5,4,0,No
EMP00006,CMP030,Behavioural,Project Management,False,1,2,1,Yes
EMP00006,CMP017,Technical,GIS,False,1,2,1,Yes
EMP00006,CMP018,Technical,Data Visualization,False,1,2,1,Yes
EMP00006,CMP028,Behavioural,Leadership,False,1,2,1,Yes
EMP00006,CMP001,Statistical,Survey Design,False,3,2,0,No
EMP00006,CMP022,Technical,Open Data,False,2,2,0,No
EMP00006,CMP024,Digital Governance,Data Privacy,False,1,2,1,Yes
EMP00006,CMP004,Statistical,Price Statistics,False,3,2,0,No
EMP00006,CMP033,Behavioural,Change Management,False,1,2,1,Yes
EMP00006,CMP031,Behavioural,Ethics,False,2,2,0,No
EMP00006,CMP009,Statistical,Metadata Standards,False,1,2,1,Yes
EMP00006,CMP021,Technical,APIs,False,2,2,0,No
EMP00006,CMP011,Technical,Python,False,1,2,1,Yes
EMP00006,CMP026,Digital Governance,Government Cloud,False,2,2,0,No
EMP00006,CMP010,Statistical,Data Quality Frameworks,False,3,2,0,No
EMP00007,CMP013,Technical,SQL,False,4,4,0,No
EMP00007,CMP010,Statistical,Data Quality Frameworks,False,4,4,0,No
EMP00007,CMP012,Technical,R Programming,False,3,4,1,Yes
EMP00007,CMP025,Digital Governance,Digital Signatures,False,3,4,1,Yes
EMP00007,CMP006,Statistical,Agricultural Statistics,False,5,4,0,No
EMP00007,CMP018,Technical,Data Visualization,False,3,4,1,Yes
EMP00007,CMP030,Behavioural,Project Management,False,3,4,1,Yes
EMP00007,CMP017,Technical,GIS,False,5,4,0,No
EMP00007,CMP001,Statistical,Survey Design,False,5,4,0,No
EMP00007,CMP020,Technical,Cloud Computing,False,3,4,1,Yes
EMP00007,CMP011,Technical,Python,False,5,4,0,No
EMP00007,CMP016,Technical,SAS,False,3,4,1,Yes
EMP00007,CMP027,Digital Governance,Digital Public Infrastructure,False,3,4,1,Yes
EMP00007,CMP004,Statistical,Price Statistics,False,5,4,0,No
EMP00007,CMP031,Behavioural,Ethics,False,4,4,0,No
EMP00008,CMP011,Technical,Python,False,2,2,0,No
EMP00008,CMP017,Technical,GIS,False,3,2,0,No
EMP00008,CMP032,Behavioural,Decision Making,False,2,2,0,No
EMP00008,CMP028,Behavioural,Leadership,False,1,2,1,Yes
EMP00008,CMP020,Technical,Cloud Computing,False,1,2,1,Yes
