employee_id,course_id,enrollment_date,completion_status,rating,time_spent_hours
EMP00001,CRS0022,2026-11-24,In Progress,,13.9
EMP00001,CRS0084,2026-10-15,Completed,3.4,30.0
EMP00001,CRS0116,2025-02-19,Completed,3.0,11.7
EMP00001,CRS0110,2026-05-05,In Progress,,3.0
EMP00001,CRS0066,2025-12-27,In Progress,,20.1
EMP00002,CRS0117,2024-08-04,Completed,2.5,37.9
EMP00002,CRS0053,2025-11-16,Completed,2.2,19.7
EMP00002,CRS0047,2025-03-02,Completed,2.4,20.7
EMP00003,CRS0041,2026-04-02,Completed,4.5,17.4
EMP00003,CRS0140,2026-01-07,Completed,4.8,33.8
EMP00003,CRS0096,2024-12-14,Completed,4.4,9.1
EMP00003,CRS0030,2026-01-04,Dropped,,39.4
EMP00004,CRS0048,2026-01-28,In Progress,,4.3
EMP00004,CRS0102,2024-04-26,Completed,3.4,35.7
EMP00004,CRS0069,2024-08-25,Dropped,,17.2
EMP00004,CRS0127,2024-05-19,Completed,3.0,2.4
EMP00005,CRS0054,2025-07-19,In Progress,,9.0
EMP00005,CRS0048,2024-10-09,Completed,2.3,32.7
EMP00005,CRS0106,2024-09-01,In Progress,,18.5
EMP00006,CRS0057,2026-06-04,Completed,3.0,29.7
EMP00006,CRS0009,2026-04-05,In Progress,,10.3
EMP00006,CRS0102,2024-09-28,Completed,2.5,30.8
EMP00006,CRS0084,2025-04-12,Completed,4.7,6.5
EMP00006,CRS0067,2026-07-02,In Progress,,13.3
EMP00006,CRS0016,2025-11-11,Completed,3.3,18.0
EMP00007,CRS0117,2026-12-21,Completed,2.6,20.6
EMP00007,CRS0043,2026-09-14,Completed,2.1,29.5
EMP00007,CRS0078,2025-07-28,Completed,2.0,30.4
EMP00008,CRS0044,2026-03-20,Completed,4.0,37.0
EMP00008,CRS0012,2025-05-27,Completed,2.6,5.0
EMP00009,CRS0009,2024-03-12,Completed,4.7,24.2
EMP00009,CRS0072,2024-01-06,Dropped,,11.4
EMP00009,CRS0067,2025-11-26,Completed,2.2,7.9
EMP00010,CRS0089,2026-11-02,Dropped,,12.8
EMP00010,CRS0016,2026-09-10,Completed,3.2,21.2
EMP00010,CRS0030,2024-04-07,In Progress,,9.9
EMP00010,CRS0058,2024-07-06,In Progress,,13.2
EMP00011,CRS0110,2024-02-05,Completed,4.2,40.0
EMP00011,CRS0034,2025-02-06,In Progress,,32.0
EMP00011,CRS0002,2025-10-13,In Progress,,4.2
EMP00011,CRS0138,2024-01-04,Completed,4.6,24.8
EMP00011,CRS0007,2024-08-15,Completed,4.9,17.3
EMP00011,CRS0089,2024-07-06,Completed,3.1,8.1
EMP00012,CRS0069,2026-04-04,Completed,2.5,19.0
EMP00012,CRS0024,2025-05-16,Completed,2.7,17.2
EMP00012,CRS0053,2025-05-13,Completed,4.0,21.3
